datetime='2015-10-09 13:09:47',T004A='20',T004B='30',T024A='6',T024B='10',T031A='12',T031B='17',T035A='[weeks]',T035B=' ',T040A='2',T040B='8',T053A='12',T053B='17',T058A='32',T058B='42',T063A='1',T063B='7',T070A='3',T070B='4',T074A='10',T074B='+++',T084A='5',T084B='6',T087A='4',T087B='5',T093A='13',T093B='16',T119A='20',T119B='22',T126A='14',T126B='17'
datetime='2015-10-09 13:09:49',T004A='25',T004B='30',T024A='7',T024B='10',T031A='5',T031B='10',T035A='[days]',T035B=' ',T040A='6',T040B='12',T053A='14',T053B='16',T058A='35',T058B='37',T063A='10',T063B='20',T070A='3',T070B='12',T074A='10',T074B='+++',T084A='4',T084B='5',T087A='3',T087B='4',T093A='13',T093B='18',T119A='18',T119B='22',T126A='14',T126B='16'
datetime='2015-10-09 13:09:57',T007A='6',T007B='8',T016A='8',T016B='10',T026A='8',T026B='10',T039A='3',T039B='8',T043A='11',T043B='14',T047A='28',T047B='31',T060A='13',T060B='17',T065A='7',T065B='11',T077A='8',T077B='15',T086A='18',T086B='23',T097A='10',T097B='18',T105A='[months]',T105B=' ',T127A='5',T127B='9',T136A='14',T136B='28',T144A='2',T144B='5'
datetime='2015-10-09 13:10:03',T002A='0',T002B='9',T011A='0',T011B='35',T044A='9',T044B='11',T052A='6',T052B='9',T061A='3',T061B='10',T069A='2',T069B='3',T081A='0',T081B='6',T090A='6',T090B='9',T098A='16',T098B='19',T101A='26',T101B='29',T107A='2',T107B='4',T112A='[weeks]',T112B=' ',T122A='26',T122B='36',T135A='12',T135B='12',T140A='3',T140B='5'
datetime='2015-10-09 13:10:21',T006A='3',T006B='4',T027A='21',T027B='28',T029A='[days]',T029B=' ',T034A='3',T034B='10',T050A='6',T050B='8',T056A='10',T056B='11',T068A='6',T068B='18',T071A='3',T071B='6',T073A='3',T073B='7',T088A='13',T088B='14',T092A='46',T092B='50',T096A='8',T096B='13',T114A='6',T114B='12',T118A='6',T118B='9',T139A='2',T139B='7'
datetime='2015-10-09 13:10:33',T008A='10',T008B='13',T018A='30',T018B='40',T022A='15',T022B='20',T028A='[days]',T028B=' ',T030A='[weeks]',T030B=' ',T048A='3',T048B='6',T055A='8',T055B='12',T057A='20',T057B='28',T062A='4',T062B='8',T066A='4',T066B='11',T078A='17',T078B='19',T089A='17',T089B='19',T115A='3',T115B='10',T120A='14',T120B='16',T150A='4',T150B='9'
datetime='2015-10-09 13:10:58',T006A='3',T006B='5',T027A='21',T027B='24',T029A='[weeks]',T029B=' ',T034A='8',T034B='20',T050A='6',T050B='8',T056A='10',T056B='12',T068A='4',T068B='8',T071A='3',T071B='8',T073A='2',T073B='5',T088A='12',T088B='14',T092A='46',T092B='56',T096A='2',T096B='10',T114A='8',T114B='12',T118A='5',T118B='10',T139A='2',T139B='5'
datetime='2015-10-09 13:11:02',T002A='7',T002B='9',T011A='6',T011B='31',T044A='9',T044B='11',T052A='6',T052B='8',T061A='3',T061B='6',T069A='3',T069B='4',T081A='5',T081B='6',T090A='5',T090B='7',T098A='15',T098B='17',T101A='25',T101B='27',T107A='3',T107B='6',T112A='[weeks]',T112B=' ',T122A='28',T122B='35',T135A='11',T135B='13',T140A='6',T140B='10'
datetime='2015-10-09 13:11:08',T002A='1',T002B='10',T011A='0',T011B='35',T044A='9',T044B='12',T052A='6',T052B='9',T061A='15',T061B='30',T069A='2',T069B='3',T081A='6',T081B='7',T090A='5',T090B='7',T098A='15',T098B='18',T101A='25',T101B='27',T107A='3',T107B='6',T112A='[weeks]',T112B=' ',T122A='25',T122B='40',T135A='11',T135B='13',T140A='5',T140B='7'
datetime='2015-10-09 13:11:39',T006A='4',T006B='4',T027A='21',T027B='22',T029A='[days]',T029B=' ',T034A='5',T034B='10',T050A='7',T050B='7',T056A='11',T056B='13',T068A='6',T068B='9',T071A='3',T071B='5',T073A='3',T073B='5',T088A='14',T088B='14',T092A='46',T092B='48',T096A='8',T096B='10',T114A='3',T114B='6',T118A='6',T118B='8',T139A='1',T139B='5'
datetime='2015-10-09 13:11:42',T003A='1',T003B='30',T012A='40',T012B='48',T023A='3',T023B='6',T037A='[months]',T037B=' ',T045A='18',T045B='20',T051A='14',T051B='15',T075A='3',T075B='5',T083A='14',T083B='21',T095A='10',T095B='11',T108A='3',T108B='6',T110A='[days]',T110B=' ',T128A='10',T128B='17',T132A='5',T132B='6',T137A='3',T137B='5',T141A='3',T141B='6'
datetime='2015-10-09 13:11:45',T003A='1',T003B='29',T012A='37',T012B='47',T023A='3',T023B='4',T037A='[months]',T037B=' ',T045A='14',T045B='18',T051A='13',T051B='15',T075A='3',T075B='7',T083A='15',T083B='20',T095A='10',T095B='12',T108A='2',T108B='6',T110A='[days]',T110B=' ',T128A='12',T128B='15',T132A='5',T132B='7',T137A='3',T137B='7',T141A='3',T141B='6'
datetime='2015-10-09 13:11:53',T006A='4',T006B='3',T027A='20',T027B='22',T029A='[days]',T029B=' ',T034A='10',T034B='20',T050A='6',T050B='8',T056A='11',T056B='12',T068A='6',T068B='11',T071A='2',T071B='4',T073A='5',T073B='10',T088A='14',T088B='12',T092A='46',T092B='50',T096A='8',T096B='13',T114A='1',T114B='6',T118A='6',T118B='8',T139A='3',T139B='5'
datetime='2015-10-09 13:12:19',T003A='0',T003B='30',T012A='37',T012B='48',T023A='3',T023B='4',T037A='[months]',T037B=' ',T045A='14',T045B='22',T051A='12',T051B='16',T075A='3',T075B='6',T083A='15',T083B='20',T095A='10',T095B='11',T108A='3',T108B='6',T110A='[weeks]',T110B=' ',T128A='11',T128B='18',T132A='5',T132B='7',T137A='3',T137B='8',T141A='0',T141B='6'
datetime='2015-10-09 13:12:20',T001A='3',T001B='10',T010A='3',T010B='6',T019A='3',T019B='6',T049A='10',T049B='14',T054A='7',T054B='10',T067A='3',T067B='9',T072A='4',T072B='16',T082A='4',T082B='10',T091A='15',T091B='30',T100A='12',T100B='13',T106A='3',T106B='14',T109A='2',T109B='+++',T111A='[months]',T111B=' ',T117A='2',T117B='5',T134A='17',T134B='23'
datetime='2015-10-09 13:12:41',T007A='6',T007B='8',T016A='7',T016B='14',T026A='8',T026B='10',T039A='3',T039B='6',T043A='11',T043B='13',T047A='25',T047B='35',T060A='13',T060B='17',T065A='4',T065B='12',T077A='11',T077B='15',T086A='18',T086B='24',T097A='14',T097B='18',T105A='[weeks]',T105B=' ',T127A='6',T127B='8',T136A='4',T136B='6',T144A='3',T144B='4'
datetime='2015-10-09 13:12:42',T009A='6',T009B='8',T013A='5',T013B='6',T033A='2',T033B='6',T046A='23',T046B='26',T079A='20',T079B='30',T094A='30',T094B='45',T099A='13',T099B='18',T103A='[days]',T103B=' ',T113A='4',T113B='13',T123A='30',T123B='40',T129A='20',T129B='30',T133A='40',T133B='50',T138A='3',T138B='13',T145A='2',T145B='6',T149A='3',T149B='9'
datetime='2015-10-09 13:12:44',T008A='10',T008B='13',T018A='35',T018B='45',T022A='15',T022B='18',T028A='[weeks]',T028B=' ',T030A='[weeks]',T030B=' ',T048A='9',T048B='11',T055A='9',T055B='11',T057A='21',T057B='27',T062A='3',T062B='5',T066A='4',T066B='9',T078A='16',T078B='19',T089A='16',T089B='19',T115A='3',T115B='7',T120A='15',T120B='15',T150A='3',T150B='5'
datetime='2015-10-09 13:12:51',T007A='7',T007B='8',T016A='7',T016B='10',T026A='8',T026B='10',T039A='2',T039B='3',T043A='12',T043B='12',T047A='28',T047B='31',T060A='14',T060B='16',T065A='4',T065B='6',T077A='10',T077B='13',T086A='18',T086B='22',T097A='16',T097B='19',T105A='[months]',T105B=' ',T127A='5',T127B='8',T136A='7',T136B='10',T144A='2',T144B='3'
datetime='2015-10-09 13:13:00',T008A='10',T008B='14',T018A='28',T018B='35',T022A='14',T022B='20',T028A='[days]',T028B=' ',T030A='[weeks]',T030B=' ',T048A='9',T048B='11',T055A='9',T055B='11',T057A='19',T057B='26',T062A='2',T062B='6',T066A='2',T066B='10',T078A='16',T078B='19',T089A='17',T089B='20',T115A='3',T115B='9',T120A='14',T120B='16',T150A='2',T150B='5'
datetime='2015-10-09 13:13:05',T006A='2',T006B='4',T027A='21',T027B='29',T029A='[months]',T029B=' ',T034A='3',T034B='9',T050A='6',T050B='8',T056A='11',T056B='12',T068A='4',T068B='6',T071A='2',T071B='3',T073A='3',T073B='5',T088A='11',T088B='14',T092A='46',T092B='55',T096A='8',T096B='12',T114A='3',T114B='5',T118A='6',T118B='8',T139A='1',T139B='4'
datetime='2015-10-09 13:13:37',T017A='21',T017B='30',T020A='9',T020B='10',T036A='[months]',T036B=' ',T038A='2',T038B='4',T041A='2',T041B='4',T059A='6',T059B='8',T076A='0',T076B='17',T080A='0',T080B='60',T085A='6',T085B='11',T102A='17',T102B='18',T121A='44',T121B='46',T124A='80',T124B='100',T130A='14',T130B='16',T142A='3',T142B='4',T147A='3',T147B='6'
datetime='2015-10-09 13:14:02',T007A='6',T007B='7',T016A='7',T016B='12',T026A='8',T026B='9',T039A='2',T039B='3',T043A='10',T043B='15',T047A='25',T047B='34',T060A='13',T060B='18',T065A='8',T065B='10',T077A='10',T077B='13',T086A='19',T086B='22',T097A='17',T097B='21',T105A='[weeks]',T105B=' ',T127A='5',T127B='8',T136A='15',T136B='30',T144A='2',T144B='4'
datetime='2015-10-09 13:14:02',T003A='0',T003B='29',T012A='37',T012B='47',T023A='3',T023B='4',T037A='[months]',T037B=' ',T045A='17',T045B='19',T051A='13',T051B='15',T075A='2',T075B='5',T083A='15',T083B='20',T095A='10',T095B='11',T108A='4',T108B='10',T110A='[weeks]',T110B=' ',T128A='10',T128B='17',T132A='6',T132B='7',T137A='2',T137B='5',T141A='2',T141B='4'
datetime='2015-10-09 13:14:04',T017A='20',T017B='25',T020A='8',T020B='11',T036A='[days]',T036B=' ',T038A='3',T038B='6',T041A='1',T041B='5',T059A='6',T059B='8',T076A='2',T076B='4',T080A='25',T080B='50',T085A='5',T085B='11',T102A='17',T102B='20',T121A='43',T121B='46',T124A='80',T124B='120',T130A='15',T130B='17',T142A='1',T142B='3',T147A='3',T147B='6'
datetime='2015-10-09 13:14:10',T004A='21',T004B='28',T024A='7',T024B='8',T031A='3',T031B='5',T035A='[months]',T035B=' ',T040A='4',T040B='7',T053A='12',T053B='16',T058A='30',T058B='40',T063A='5',T063B='10',T070A='3',T070B='5',T074A='4',T074B='10',T084A='4',T084B='5',T087A='4',T087B='5',T093A='14',T093B='16',T119A='18',T119B='22',T126A='13',T126B='18'
datetime='2015-10-09 13:14:10',T001A='2',T001B='3',T010A='5',T010B='5',T019A='3',T019B='4',T049A='12',T049B='12',T054A='7',T054B='8',T067A='2',T067B='2',T072A='3',T072B='4',T082A='9',T082B='9',T091A='16',T091B='17',T100A='12',T100B='13',T106A='3',T106B='5',T109A='3',T109B='25',T111A='[months]',T111B=' ',T117A='3',T117B='3',T134A='19',T134B='21'
datetime='2015-10-09 13:14:21',T017A='20',T017B='25',T020A='8',T020B='10',T036A='[years]',T036B=' ',T038A='1',T038B='5',T041A='2',T041B='14',T059A='6',T059B='8',T076A='1',T076B='17',T080A='30',T080B='46',T085A='6',T085B='12',T102A='17',T102B='19',T121A='42',T121B='47',T124A='80',T124B='100',T130A='14',T130B='16',T142A='1',T142B='4',T147A='3',T147B='8'
datetime='2015-10-09 13:14:26',T008A='1',T008B='13',T018A='1',T018B='4',T022A='15',T022B='+++',T028A='[months]',T028B=' ',T030A='[months]',T030B=' ',T048A='10',T048B='12',T055A='9',T055B='11',T057A='27',T057B='29',T062A='2',T062B='3',T066A='3',T066B='8',T078A='1',T078B='19',T089A='1',T089B='20',T115A='1',T115B='4',T120A='14',T120B='16',T150A='2',T150B='3'
datetime='2015-10-09 13:14:45',T017A='21',T017B='30',T020A='8',T020B='10',T036A='[days]',T036B=' ',T038A='3',T038B='6',T041A='2',T041B='9',T059A='6',T059B='7',T076A='7',T076B='17',T080A='5',T080B='70',T085A='7',T085B='11',T102A='17',T102B='19',T121A='43',T121B='45',T124A='65',T124B='75',T130A='14',T130B='16',T142A='3',T142B='4',T147A='4',T147B='10'
datetime='2015-10-09 13:14:47',T007A='7',T007B='7',T016A='8',T016B='10',T026A='8',T026B='9',T039A='3',T039B='10',T043A='11',T043B='13',T047A='27',T047B='31',T060A='15',T060B='15',T065A='2',T065B='5',T077A='10',T077B='14',T086A='14',T086B='23',T097A='15',T097B='20',T105A='[weeks]',T105B=' ',T127A='6',T127B='8',T136A='6',T136B='11',T144A='2',T144B='4'
datetime='2015-10-09 13:14:55',T006A='1',T006B='5',T027A='21',T027B='29',T029A='[months]',T029B=' ',T034A='4',T034B='10',T050A='6',T050B='8',T056A='10',T056B='12',T068A='2',T068B='10',T071A='2',T071B='4',T073A='2',T073B='5',T088A='10',T088B='14',T092A='45',T092B='60',T096A='7',T096B='12',T114A='1',T114B='4',T118A='6',T118B='8',T139A='3',T139B='5'
datetime='2015-10-09 13:15:11',T003A='1',T003B='30',T012A='45',T012B='47',T023A='3',T023B='4',T037A='[weeks]',T037B=' ',T045A='16',T045B='20',T051A='13',T051B='15',T075A='3',T075B='5',T083A='18',T083B='20',T095A='10',T095B='11',T108A='2',T108B='3',T110A='[days]',T110B=' ',T128A='12',T128B='16',T132A='5',T132B='7',T137A='3',T137B='5',T141A='2',T141B='5'
datetime='2015-10-09 13:15:24',T008A='7',T008B='10',T018A='30',T018B='40',T022A='15',T022B='20',T028A='[weeks]',T028B=' ',T030A='[days]',T030B=' ',T048A='8',T048B='12',T055A='8',T055B='12',T057A='20',T057B='30',T062A='4',T062B='12',T066A='3',T066B='6',T078A='10',T078B='15',T089A='17',T089B='19',T115A='6',T115B='12',T120A='14',T120B='18',T150A='5',T150B='10'
datetime='2015-10-09 13:16:12',T007A='7',T007B='8',T016A='7',T016B='9',T026A='8',T026B='9',T039A='3',T039B='3',T043A='11',T043B='13',T047A='27',T047B='40',T060A='13',T060B='17',T065A='3',T065B='10',T077A='11',T077B='15',T086A='19',T086B='23',T097A='14',T097B='19',T105A='[months]',T105B=' ',T127A='6',T127B='9',T136A='10',T136B='45',T144A='2',T144B='3'
datetime='2015-10-09 13:16:23',T006A='5',T006B='4',T027A='20',T027B='23',T029A='[months]',T029B=' ',T034A='2',T034B='20',T050A='7',T050B='6',T056A='11',T056B='11',T068A='4',T068B='9',T071A='6',T071B='8',T073A='2',T073B='7',T088A='14',T088B='15',T092A='45',T092B='49',T096A='8',T096B='12',T114A='3',T114B='6',T118A='6',T118B='7',T139A='2',T139B='5'
