datetime='2015-07-13 23:31:43',E002='30',E005='[muitos anos]',E010='[muitas semanas]',E015='[muitos meses]',E017='6',E024='10',E030='21-25',E031='12-15',E043='12',E049='30',E052='12',E054='5',E059='30',E068='6',E069='10',E075='9',E080='31-40',E091='14',E096='5',E103='14',E107='3',E108='5',E113='3',E115='3',E119='7'
datetime='2015-07-14 00:47:53',E001='11',E008=' [alguns anos]',E013='[algumas semanas]',E020='15',E026='4',E027='7',E036='3',E037='2',E046='28',E048='13',E055='22',E065='35',E066='11',E070='6',E077='6',E084='9',E090='30',E092='14',E098='7',E099='30',E105='4',E112='3',E118='6',E123='2',E125='6'
datetime='2015-07-14 00:48:34',E007='[alguns dias]',E012='[alguns dias]',E033='4',E038='4',E040='3',E051='21',E057='28',E060='7',E062='12',E063='4',E064='10',E072='35',E074='6',E082='8',E086='23',E087='4',E089='12',E094='14',E095='5',E097='25',E101='11',E104='4',E110='7',E111='3',E122='5'
datetime='2015-07-14 01:32:52',E002='30',E005='[algumas semanas]',E010='[alguns dias]',E015='[alguns meses]',E017='8',E024='10',E030='12-15',E031='10',E043='26',E049='20',E052='13',E054='5',E059='30',E068='5',E069='10',E075='9',E080='41-50',E091='17',E096='10',E103='12',E107='4',E108='3',E113='5',E115='8',E119='4'
datetime='2015-07-14 07:46:12',E001='11',E008='[algumas semanas]',E013='[muitas semanas]',E020='14',E026='4',E027='7',E036='5',E037='3',E046='28',E048='15',E055='20',E065='35',E066='12',E070='6',E077='12-15',E084='8',E090='31',E092='14',E098='7',E099='27',E105='6',E112='999',E118='5',E123='3',E125='4'
datetime='2015-07-14 09:30:29',E001='9',E008='[alguns dias]',E013='[algumas semanas]',E020='13',E026='4',E027='7',E036='7',E037='3',E046='29',E048='13',E055='23',E065='33',E066='11',E070='6',E077='4',E084='9',E090='29',E092='13',E098='5',E099='29',E105='5',E112='3',E118='6',E123='3',E125='4'
datetime='2015-07-14 09:43:58',E002='28',E005='[muitas semanas]',E010='[alguns dias]',E015='[algumas semanas]',E017='6',E024='10',E030='12-15',E031='3',E043='23',E049='27',E052='12',E054='5',E059='34',E068='5',E069='8',E075='9',E080='56-59',E091='16',E096='6',E103='14',E107='3',E108='2',E113='5',E115='8',E119='4'
datetime='2015-07-14 10:22:16',E004='28',E009='[algumas semanas]',E014='[alguns meses]',E018='13',E021='40',E023='10',E025='8',E028='4',E029='10',E034='13',E039='7',E044='9',E045='3',E047='20',E058='30',E067='6',E073='6',E079='17',E085='10',E100='25',E102='6',E106='5',E114='3',E120='6',E124='3'
datetime='2015-07-14 13:14:12',E002='30',E005='[alguns dias]',E010='[alguns dias]',E015='[alguns dias]',E017='8',E024='10',E030='31-45',E031='3',E043='20',E049='20',E052='12',E054='5',E059='32',E068='2',E069='9',E075='9',E080='56-59',E091='16',E096='6',E103='14',E107='4',E108='2',E113='3',E115='10',E119='3'
datetime='2015-07-14 13:26:19',E001='9',E008='[muitos dias]',E013='[alguns dias]',E020='16',E026='4',E027='7',E036='5',E037='2',E046='29',E048='15',E055='22',E065='36',E066='10',E070='7',E077='12-15',E084='9',E090='28',E092='13',E098='5',E099='28',E105='4',E112='6',E118='3',E123='2',E125='4'
